ID,APCID,ProviderID,OutpatientServices,AverageSubmittedCharges,AverageTotalPayments,Year
343,13,10114,78,347.5089744,35.61948718,2012
344,13,10130,24,264.125,45.0775,2012
345,13,10144,214,183.1549533,52.87728972,2012
346,13,20001,157,279.9443312,70.6166879,2012
347,13,20008,209,124.6616746,77.18794258,2012
348,13,20012,103,132.5168932,71.17252427,2012
349,13,20017,59,313.2667797,70.91084746,2012
350,13,20024,589,288.0991511,76.22655348,2012
351,13,30002,110,204.0909091,55.11354545,2012
352,13,30006,156,183.4444872,58.63653846,2012
353,13,30010,1210,350.7524793,59.30412397,2012
354,13,30011,118,240.785,59.39288136,2012
355,13,30012,61,402.3152459,65.7357377,2012
356,13,30013,186,340.7876344,42.27865591,2012
357,13,30022,191,474.6127749,54.3239267,2012
358,13,30030,95,206.6621053,58.58263158,2012
359,13,30036,37,324.7397297,52.12027027,2012
360,13,30037,30,267.0646667,61.67066667,2012
361,13,30038,95,251.7866316,62.68021053,2012
362,13,30043,121,200.5995868,61.00206612,2012
363,13,30055,57,492.0605263,66.38824561,2012
364,13,30061,27,593.3407407,58.06185185,2012
365,13,30064,1311,156.5400076,47.24512586,2012
366,13,30069,242,328.4901653,63.47004132,2012
367,13,30083,90,264.7277778,58.646,2012
368,13,30085,377,317.4359682,38.93551724,2012
369,13,30088,864,392.7471065,62.31498843,2012
370,13,30089,82,209.8621951,48.39170732,2012
371,13,30101,141,307.5573759,65.61914894,2012
372,13,30111,74,264.3108108,52.95081081,2012
373,13,30117,63,331.8030159,52.89253968,2012
374,13,30121,182,463.2373626,60.62576923,2012
375,13,40004,324,290.275,57.93222222,2012
376,13,40007,73,227.0163014,48.60410959,2012
377,13,40010,84,346.3186905,43.07238095,2012
378,13,40014,584,83.7880137,56.62900685,2012
379,13,40015,18,106.25,47.58111111,2012
380,13,40016,1897,107.8509647,45.51097522,2012
381,13,40017,169,208.7114793,58.40733728,2012
382,13,40020,111,151.3153153,55.26009009,2012
383,13,40022,32,415.9625,51.059375,2012
384,13,40026,118,213.1463559,56.85398305,2012
385,13,40027,86,175.7790698,47.00162791,2012
386,13,40029,16,133.67,56.37375,2012
387,13,40036,199,197.6828141,54.54301508,2012
388,13,40050,28,179.6257143,54.63678571,2012
389,13,40051,175,140.87,55.15617143,2012
390,13,40055,647,190.4819629,44.9596136,2012
391,13,40062,48,228.1875,50.5,2012
392,13,40069,17,154.5882353,58.07,2012
393,13,40071,23,246.8152174,42.44173913,2012
394,13,40074,34,191.3235294,33.16147059,2012
395,13,40076,135,78.36162963,55.02177778,2012
396,13,40084,73,194.6309589,40.15972603,2012
397,13,40088,65,408.4841538,49.76015385,2012
398,13,40114,85,130.746,54.56152941,2012
399,13,40118,73,113.6665753,45.15424658,2012
400,13,40119,59,287.9152542,58.21440678,2012
401,13,40134,157,267.7549682,54.9466242,2012
402,13,50024,159,293.9991195,46.34792453,2012
403,13,50025,427,292.5714286,54.93875878,2012
404,13,50026,89,175.9662921,56.17629213,2012
405,13,50028,162,238.0123457,53.63117284,2012
406,13,50036,241,252.4522822,61.32809129,2012
407,13,50038,840,199.4434881,80.42986905,2012
408,13,50039,101,132.0036634,49.28772277,2012
409,13,50042,243,354.3415638,82.81329218,2012
410,13,50045,55,289.4254545,58.07563636,2012
411,13,50056,29,325.0306897,56.10517241,2012
412,13,50058,232,252.8577586,41.1212069,2012
413,13,50060,401,456.571197,65.42558603,2012
414,13,50077,134,250.278806,64.89477612,2012
415,13,50079,962,944.8733784,81.51585239,2012
416,13,50090,28,357,80.8075,2012
417,13,50093,222,208.4704505,41.51977477,2012
418,13,50104,12,179.5,43.25833333,2012
419,13,50113,136,176.8382353,68.42830882,2012
420,13,50115,41,251.0390244,51.09341463,2012
421,13,50121,94,244.3220213,62.46010638,2012
422,13,50124,52,285,46.59076923,2012
423,13,50125,282,591.3125532,83.92468085,2012
424,13,50126,258,249.0703488,52.73550388,2012
425,13,50128,41,318.79,47.73707317,2012
426,13,50129,137,282.9791971,67.41773723,2012
427,13,50145,42,368.8809524,71.55571429,2012
428,13,50150,66,217.405303,56.97757576,2012
429,13,50152,92,207.7348913,77.95434783,2012
430,13,50153,86,528.9302326,75.31290698,2012
431,13,50168,98,304.447449,68.43357143,2012
432,13,50169,75,449.6133333,38.58066667,2012
433,13,50179,18,164.9505556,66.70944444,2012
434,13,50180,70,370.4642857,52.56628571,2012
435,13,50194,310,893.4745161,71.65780645,2012
436,13,50195,199,704.0731156,80.02236181,2012
437,13,50197,106,210.4029245,82.43962264,2012
438,13,50204,23,225.4347826,43.63782609,2012
439,13,50211,55,337.9027273,57.31363636,2012
440,13,50224,297,192.9734343,67.18343434,2012
441,13,50228,173,206.7687861,80.10537572,2012
442,13,50230,38,247.5565789,40.73052632,2012
443,13,50231,38,178,69.23263158,2012
444,13,50234,27,132.1851852,68.70481481,2012
445,13,50238,49,451.0204082,44.50020408,2012
446,13,50239,79,318.1173418,69.22265823,2012
447,13,50254,683,83.13616398,70.11162518,2012
448,13,50257,49,168.5,40.65204082,2012
449,13,50262,2613,187.1403789,53.60194413,2012
450,13,50272,18,478.2222222,68.70222222,2012
451,13,50280,311,240.5594855,59.71938907,2012
452,13,50289,42,497.3690476,69.00214286,2012
453,13,50292,16,171.8125,64.37375,2012
454,13,50300,463,248.587473,66.75669546,2012
455,13,50301,52,199.1025,68.28211538,2012
456,13,50309,15,207.562,68.81066667,2012
457,13,50313,76,1408.271053,72.61434211,2012
458,13,50320,51,150.6470588,78.26686275,2012
459,13,50329,28,186.8571429,44.13964286,2012
460,13,50334,60,249.7633333,63.03966667,2012
461,13,50336,181,341.3414365,56.35370166,2012
462,13,50342,33,312.1218182,65.55909091,2012
463,13,50348,741,129.1589339,63.86958165,2012
464,13,50357,220,234.7062273,56.99413636,2012
465,13,50367,50,186.9926,78.708,2012
466,13,50382,17,362.7294118,50.91588235,2012
467,13,50385,26,185,58.51807692,2012
468,13,50394,297,208.4377441,69.36360269,2012
469,13,50417,56,125.5864286,73.56142857,2012
470,13,50434,156,152.6984615,57.75871795,2012
471,13,50441,2064,158.5475388,69.40031492,2012
472,13,50444,37,220,67.44513514,2012
473,13,50448,137,268.0055474,67.91248175,2012
474,13,50454,2419,141.8697354,70.02599835,2012
475,13,50457,125,206.69376,78.58408,2012
476,13,50488,21,304.1442857,80.04,2012
477,13,50498,18,264.9383333,73.75555556,2012
478,13,50516,690,788.7956522,71.80898551,2012
479,13,50523,60,280.2333333,77.694,2012
480,13,50526,133,247.0413534,44.99796992,2012
481,13,50534,37,283.0975676,67.74837838,2012
482,13,50551,13,340.3576923,68.82,2012
483,13,50573,2375,121.4031074,65.12676211,2012
484,13,50580,89,312.511236,40.1958427,2012
485,13,50599,2778,210.4432145,61.58095032,2012
486,13,50603,117,254.7976923,57.32247863,2012
487,13,50616,65,187.1538462,63.95846154,2012
488,13,50636,43,275.4883721,53.50186047,2012
489,13,50688,86,694.0925581,74.94755814,2012
490,13,50689,63,295.9120635,81.79619048,2012
491,13,50696,119,661.6221008,66.61,2012
492,13,50701,46,226.2826087,42.56130435,2012
493,13,50742,437,271.1424714,49.37645309,2012
494,13,50761,12,553.2416667,51.92166667,2012
495,13,50764,18,247.5288889,76.83111111,2012
496,13,50770,111,339.83,64.37630631,2012
497,13,60001,44,546.3431818,60.57727273,2012
498,13,60010,100,200.1,51.298,2012
499,13,60011,169,149.5321302,57.1464497,2012
500,13,60014,83,324.4040964,50.5726506,2012
501,13,60015,66,100.8566667,62.18166667,2012
502,13,60016,466,157.32,63.4501073,2012
503,13,60020,33,264.8181818,55.18545455,2012
504,13,60022,39,498.0946154,57.59076923,2012
505,13,60024,3468,215.4997001,53.34252307,2012
506,13,60027,15,64.86666667,62.704,2012
507,13,60030,69,287.8304348,60.70043478,2012
508,13,60031,204,642.5414706,60.12735294,2012
509,13,60034,13,174.9146154,63.10461538,2012
510,13,60036,65,183.3007692,65.04461538,2012
511,13,60064,370,257.3444054,52.37964865,2012
512,13,60076,48,204.2833333,64.99604167,2012
513,13,60100,12,1398.023333,56.22833333,2012
514,13,60104,130,212.5028462,60.70469231,2012
515,13,70001,26,197.1534615,66.09538462,2012
516,13,70002,101,189.8352475,65.28594059,2012
517,13,70004,12,197.0208333,65.95,2012
518,13,70007,33,307.0693939,63.78969697,2012
519,13,70008,14,333.9364286,56.73428571,2012
520,13,70010,13,356.1538462,63.76,2012
521,13,70011,90,132.9456667,55.61411111,2012
522,13,70016,124,157.2125806,42.56064516,2012
523,13,70017,66,311.2162121,39.84636364,2012
524,13,70018,176,569.1846591,72.07528409,2012
525,13,70019,26,254.4053846,68.43153846,2012
526,13,70020,34,280.3235294,65.98029412,2012
527,13,70022,125,222.3308,59.57784,2012
528,13,70024,342,164.5849415,57.18593567,2012
529,13,70025,21,592.5209524,49.31761905,2012
530,13,70028,94,171.0812766,54.05148936,2012
531,13,70033,19,156.3126316,72.05315789,2012
532,13,70034,31,263.3548387,62.76580645,2012
533,13,70036,2538,102.1301497,58.85728526,2012
534,13,70039,423,98.8036643,69.44520095,2012
535,13,80001,39,297.5125641,59.35307692,2012
536,13,80004,166,190.8433735,61.88825301,2012
537,13,80006,23,148.3043478,61.5573913,2012
538,13,80007,44,108.1477273,43.32795455,2012
539,13,90001,61,199.4016393,62.96278689,2012
540,13,90003,33,275.8136364,60.61969697,2012
541,13,90004,48,474.5502083,51.85166667,2012
542,13,90006,12,1983.463333,59.2775,2012
